Station ID,Area,Lat,Lon,Rate (PPT/yr)
CB7.3,Mainstem,37.11681,-76.12521,0.023771587300493714
CB7.3E,Mainstem,37.22875,-76.05383,0.026945186213206893
CB7.3N,Mainstem,37.2488,-76.0764,0.04248018070459153
CB7.4,Mainstem,36.9957,-76.02048,0.0188160569894449
CB7.4N,Mainstem,37.06237,-75.99937,0.0018227225559302941
CB8.1,Mainstem,36.99542,-76.16772,-0.0008493754020879177
CB8.1E,Mainstem,36.94737,-76.03494,0.005572090162869237
EE3.4,Tributary,37.90846,-75.79132,0.0275194798257786
EE3.5,Tributary,37.79652,-75.84438,0.029454780068420186
LE2.3,Tributary,38.0215,-76.3477,0.026685866213903994
LE3.6,Tributary,37.5968,-76.28467,0.02301546435696589
LE3.7,Tributary,37.53069,-76.30661,0.02642919081084
LE5.5-W,Tributary,36.99903,-76.31328,0.027853447589410586
WE4.1,Tributary,37.31181,-76.34634,0.025621346378884528
WE4.2,Tributary,37.24181,-76.38634,0.015849748659168102
WE4.3,Tributary,37.17681,-76.373,0.02159948643736172
WE4.4,Tributary,37.11015,-76.293,0.017831466294184237
1AAUA003.71,Tributary,38.42305,-77.35528,-0.010024416321493671
1ADOU000.60,Tributary,38.69778,-77.12111,0.001836814254219687
1ANEA000.57,Tributary,38.6,-77.25692,0.010016707410236018
1AOCC002.47,Tributary,38.64028,-77.22222,0.0204122129580389
1APOH000.93,Tributary,38.67,-77.14,0.012108443305138222
1APOH002.32,Tributary,38.68028,-77.16917,-0.0003385355350393938
1APOM002.41,Tributary,38.3475,-77.3275,-0.011428843773462108
1AQUA000.43,Tributary,38.53,-77.28,0.008572584095890772
BXK0031,Tributary,38.1355,-75.751,0.19494365436730468
CB1.0,Mainstem,39.65622,-76.17504,0.0
CB5.1W,Mainstem,38.32522,-76.37574,0.019384537387316568
CCM0069,Tributary,38.44167,-75.90556,0.0565171429699591
EBB01,Tributary,36.83611,-76.24444,0.022450241680384616
EBE1,Tributary,36.8407,-76.28911,0.04202446434640652
EE1.1,Tributary,38.88,-76.2515,0.020697053418123203
EE2.1,Tributary,38.6549,-76.2643,0.02252948464603198
EE2.2,Tributary,38.52609,-76.30408,0.0249639548189435
EE3.0,Tributary,38.28093,-76.01033,0.009754256654941073
EE3.1,Tributary,38.19685,-75.97321,0.011527774409416547
EE3.2,Tributary,37.98139,-75.92423,0.016921251277368675
EE3.3,Tributary,37.91455,-75.80148,0.027228278323326426
ELD01,Tributary,36.86556,-76.32899,0.025657710509353653
ELE01,Tributary,36.84833,-76.29806,0.019774249438954346
ELI2,Tributary,36.88237,-76.33883,0.03510355084459628
ET1.1,Tributary,39.56976,-75.96782,0.0019865299220023914
ET10.1,Tributary,38.07614,-75.57125,-0.0008531588876959135
ET2.1,Tributary,39.5293,-75.81135,-0.017536433144115748
ET2.2,Tributary,39.46704,-75.87368,-0.005653512603396452
ET2.3,Tributary,39.50873,-75.89783,-0.009379278897295748
ET3.1,Tributary,39.36415,-75.88203,0.006353098353879888
ET4.1,Tributary,39.2437,-75.9249,0.003067185970014585
ET4.2,Tributary,38.99233,-76.2151,0.012164573300548315
ET5.1,Tributary,38.80645,-75.90971,0.008071793263057297
ET5.2,Tributary,38.5807,-76.0587,0.025748034207733132
ET6.1,Tributary,38.54833,-75.70306,0.004258901709359258
ET6.2,Tributary,38.34133,-75.88834,0.00846101389250099
ET7.1,Tributary,38.26783,-75.78793,-0.012762458634277734
ET8.1,Tributary,38.13794,-75.81411,0.0259267071047334
ET9.1,Tributary,38.055,-75.80167,0.01210448945697908
LE1.1,Tributary,38.42535,-76.60176,0.009593159232346956
LE1.2,Tributary,38.37887,-76.51132,0.015067882550383514
LE1.3,Tributary,38.3398,-76.4849,0.02437283703953041
LE1.4,Tributary,38.312,-76.42151,0.015362048682176936
LE2.2,Tributary,38.1576,-76.598,-0.005018604130311358
LE3.1,Tributary,37.75925,-76.61592,0.028181134293068188
LE3.2,Tributary,37.66914,-76.55047,0.03244237816892916
LE3.3,Tributary,37.68842,-76.47442,0.020085007745696687
LE3.4,Tributary,37.63189,-76.44486,0.02952773531002014
LE4.1,Tributary,37.41883,-76.69125,0.0020918782122282304
LE4.2,Tributary,37.29044,-76.57811,-0.007382154286454742
LE4.3,Tributary,37.23392,-76.43094,-0.01589714485899132
LE5.1,Tributary,37.20297,-76.64833,0.014948156150992877
LE5.2,Tributary,37.056,-76.59306,0.016643994585291644
LE5.3,Tributary,36.99044,-76.47544,-0.0024231468050935614
LE5.4,Tributary,36.95486,-76.39275,-0.007088210445406185
LE5.6,Tributary,36.90456,-76.33836,-0.011028909430706196
LFA01,Tributary,36.9082,-76.3146,0.02287731126606661
LFB01,Tributary,36.8894,-76.28144,0.023064557146381132
MAT0016,Tributary,38.56508,-77.19345,0.0018979597176980265
MAT0078,Tributary,38.58852,-77.11865,-0.0007837343650648987
MNK0146,Tributary,38.175,-75.72361,0.12826609320644328
PIS0033,Tributary,38.69842,-76.98673,-1.7434458290227432e-05
POK0087,Tributary,38.03972,-75.66084,0.11062185714913304
RET1.1,Tributary,38.4909,-76.66429,0.02549955357877678
RET2.1,Tributary,38.4035,-77.2691,0.001311434960635645
RET2.2,Tributary,38.3525,-77.2051,0.0209143954717805
RET2.4,Tributary,38.3626,-76.99063,0.035703156338744456
RET3.1,Tributary,37.9173,-76.8222,0.005621425437687536
RET3.2,Tributary,37.81158,-76.71195,0.03072658179835562
RET4.1,Tributary,37.52564,-76.86761,0.011859446008007852
RET4.2,Tributary,37.57125,-76.79715,0.04460660139668778
RET4.3,Tributary,37.50869,-76.78889,0.004173248996185051
RET5.1A,Tributary,37.3123,-76.87672,0.020720397724443337
RET5.2,Tributary,37.20294,-76.78219,-0.014115320651007426
SBE2,Tributary,36.8134,-76.2903,0.04021310850096424
SBE5,Tributary,36.76987,-76.29605,0.028910736666365452
TF1.3,Tributary,38.81092,-76.71227,0.00014696048333244518
TF1.4,Tributary,38.77302,-76.70927,-0.0005671611917008982
TF1.5,Tributary,38.71012,-76.70146,-0.000712469528027403
TF1.6,Tributary,38.65845,-76.68381,0.013281252468951456
TF1.7,Tributary,38.58211,-76.68101,0.06277602927608274
TF2.1,Tributary,38.70664,-77.04876,-3.244929684556039e-06
TF2.2,Tributary,38.69067,-77.11111,-0.000262471819745153
TF2.3,Tributary,38.6082,-77.1739,-0.0009193704558781633
TF2.4,Tributary,38.5301,-77.2654,-0.002256311410877231
TF3.1B,Tributary,38.24628,-77.23344,0.0010972314380029865
TF3.1E,Tributary,38.24469,-77.32508,0.00130570764850505
TF3.1F,Tributary,38.26953,-77.42897,0.0007358852017872943
TF3.2,Tributary,38.17467,-77.18661,-0.003877217380128902
TF3.2A,Tributary,38.11295,-77.05482,-0.012781559202747796
TF3.3,Tributary,38.01847,-76.90928,0.018180912787002866
TF4.2,Tributary,37.57999,-77.02128,0.006413793197390416
TF4.4,Tributary,37.7228,-77.02566,-0.0011568836642747748
TF5.2,Tributary,37.5305,-77.434,0.0022701851956121013
TF5.2A,Tributary,37.45,-77.41883,0.002726309954190464
TF5.3,Tributary,37.4031,-77.39272,0.003610581192268039
TF5.4,Tributary,37.3124,-77.29133,0.001700335028916264
TF5.5,Tributary,37.31265,-77.23283,0.0013854320335379468
TF5.5A,Tributary,37.30165,-77.1284,-0.0004365835711744965
TF5.6,Tributary,37.27272,-76.99057,0.006881908091721808
TRQ0088,Tributary,38.41722,-75.99361,0.16178971009657236
TRQ0146,Tributary,38.46556,-76.00056,0.06339282326268343
WBB05,Tributary,36.82917,-76.39583,0.01809953776048467
WBE1,Tributary,36.8432,-76.35939,0.043284472062893556
WIW0141,Tributary,38.34153,-75.69569,0.02542422658031225
WT1.1,Tributary,39.43511,-76.24205,0.0008811104251912089
WT2.1,Tributary,39.37747,-76.33465,-0.005619012172599404
WT3.1,Tributary,39.30538,-76.40954,0.007030889808992232
WT4.1,Tributary,39.27755,-76.44368,0.0016419922936035563
WT5.1,Tributary,39.21309,-76.52254,0.0009948951230547602
WT6.1,Tributary,39.07851,-76.51005,-0.02182062179130724
WT7.1,Tributary,39.00764,-76.5035,0.001972568276889562
WT8.1,Tributary,38.9496,-76.5461,-0.0028562421816954115
WT8.2,Tributary,38.88696,-76.5349,0.005185851055834455
WT8.3,Tributary,38.8425,-76.5341,-0.00033046713851074756
WXT0001,Tributary,38.78538,-76.71343,-0.0004178687391722539
XAK7810,Tributary,37.96395,-75.65047,0.14609813489367623
XCI4078,Tributary,38.23379,-75.86963,0.09092802483693453
XDJ9007,Tributary,38.48375,-75.82098,0.0762580605704475
XFB1986,Tributary,38.69787,-77.02317,-0.0025082241134847874
XGG8251,Tributary,38.97113,-76.24734,-0.011055157571035656
